年份,地区,地区·代码,灌溉面积电 kha,农用化肥施用量 万t,"农用柴油
使用量
(吨)","农药
使用量
(吨)","农用塑料
薄膜
使用量
(吨)",粮食作物面积 kha,农作物面积kha,粮食作物产量 吨,粮食单产 吨/公顷,粮食作物占比,人均粮食产量 kg/人,农业产值 亿元,农民人均年收入,碳排放总量 10*3t,碳排放强度
2018,舟山市,9.0,15.36,0.42,628057.0,444.0,354.0,4.88,15.38,24820.0,5.08606557377049,0.317295188556567,21.1594202898551,9.8,33812.0,413.09763501,26.8594040968791
2017,舟山市,9.0,15.31,0.42,616869.0,447.0,381.0,5.13,16.18,25533.0,4.97719298245614,0.317058096415328,21.8604452054795,10.41,30791.0,408.19669856,25.2284733349815
2016,舟山市,9.0,15.22,0.45,608936.0,448.0,382.0,6.64,18.1,36010.0,5.42319277108434,0.366850828729282,31.0967184801382,11.02,28308.0,403.42386672,22.2886114209945
2015,舟山市,9.0,15.11,0.44,595686.0,501.0,341.0,6.12,17.65,32018.0,5.23169934640523,0.346742209631728,27.7934027777778,10.46,25903.0,396.44631866,22.4615477994334
2014,舟山市,9.0,15.07,0.5123,585067.0,667.0,417.0,5.17,13.45,26840.0,5.19148936170213,0.384386617100372,23.4205933682373,10.47,23783.0,382.10338972,28.4091739568773
2013,舟山市,9.0,13.93,0.4829,573100.0,708.0,358.0,10.66,23.13,51423.0,4.82392120075047,0.460873324686554,45.0288966725044,10.58,20573.0,384.00115863,16.6018659156939
2012,舟山市,9.0,13.93,0.5034,567619.0,532.0,302.0,10.61,23.32,52194.0,4.91932139491046,0.454974271012007,45.7842105263158,10.12,18601.0,381.44509158,16.356993635506
2011,舟山市,9.0,9.46,0.6039,568044.0,495.0,263.0,10.57,23.52,50635.0,4.79044465468307,0.449404761904762,44.5338610378188,9.7,16608.0,382.19042641,16.2495929596088
2010,舟山市,9.0,9.47,0.5299,566740.0,439.0,225.0,11.07,24.11,52369.0,4.73071364046974,0.459145582745749,46.7163247100803,8.92,14265.0,380.94555002,15.8003131489009
2009,舟山市,9.0,9.47,0.5038,566487.0,404.0,217.0,12.52,26.32,59324.0,4.73833865814697,0.475683890577508,53.9799818016378,7.91,12612.0,391.31815527,14.8677110664894
2008,舟山市,9.0,9.47,0.4354,597380.0,413.0,224.0,11.66,25.1,54161.0,4.64502572898799,0.464541832669323,49.6571009443477,7.07,11367.0,407.155652495,16.2213407368526
2007,舟山市,9.0,9.4,0.4715,630570.0,406.0,208.0,10.246,24.949,48087.0,4.69324614483701,0.41067778267666,44.3934638109306,6.4759,9725.0,433.1932866,17.3631522946812
2006,舟山市,9.0,11.83,0.4571,635401.0,405.0,210.0,10.88,26.01,52179.0,4.79586397058824,0.418300653594771,48.6608225310081,6.24,8333.0,438.65901948,16.8650142053057
2005,舟山市,9.0,9.49,0.4213,627712.0,355.0,569.0,11.78,27.23,52024.0,4.41629881154499,0.432611090708777,49.0006593199586,5.92,7190.0,437.55624044,16.0689034315094
2004,舟山市,9.0,9.47,0.5695,655620.0,367.0,268.0,12.04,27.54,59309.0,4.92599667774086,0.437182280319535,61.2000825508204,6.76,6232.0,454.87376087,16.5168395377633
2003,舟山市,9.0,9.71,0.5278,604490.0,335.0,275.0,11.97,28.38,53837.0,4.49766081871345,0.421775898520085,55.4334843492587,6.33,5018.0,417.95908031,14.7272403210007
2002,舟山市,9.0,9.4,0.4869,612303.0,413.0,215.0,13.42,30.45,66039.0,4.92093889716841,0.44072249589491,67.5521685761047,6.34,4659.0,434.56834265,14.2715383464696
